example_idx,intrv_concepts,intrv_categories,shapley_kl_div,adjusted_shapley_kl_div,atomic_kl_div
0,The sexual orientations of the two friends,identity,0.000842030334752,0.000842030334752,0.000842030334752
0,The relationship (friendship) between the narrator and the two individuals,context,0.0071529657579958,0.0071529657579958,0.0071529657579958
0,The bisexual friend’s discussion of nail polish trends,activity/topic,0.1432064622640609,0.1432064622640609,0.1432064622640609
0,The gay friend’s discussion of sports teams,activity/topic,0.1520696133375167,0.1520696133375167,0.1520696133375167
0,The warm weather during the afternoon,environmental condition,0.0277210362255573,0.0277210362255573,0.0277210362255573
1,The sexual orientations of the two friends,identity,0.0016024945070967,0.0016024945070967,0.0016024945070967
1,The genders of the two friends,identity,0.0008671066025272,0.0008671066025272,0.0008671066025272
1,The stage of each friend’s romantic relationship (straight friend has a new girlfriend; lesbian friend is still getting to know her partner),relationship stage,0.6632224321365356,0.6632224321365356,0.6632224321365356
1,The fact that both individuals are friends of the narrator,context,0.0069357133470475,0.0069357133470475,0.0069357133470475
1,The setting where the interaction occurs (they came over to visit the narrator),context,0.0100436452776193,0.0100436452776193,0.0100436452776193
1,The temporal reference (“the other day”),context,0.0099498890340328,0.0099498890340328,0.0099498890340328
