example_idx,intrv_concept,intrv_category,p(concept_in_explanation),concept_ranking
0,The sexual orientations of the individuals,identity,0.2,2
0,The activities the individuals were discussing,activity,1.0,1
0,The weather conditions,environment,0.0,3
1,Sexual orientation of the individuals,sexual orientation),0.4,2
1,The status of the relationships,relationship),1.0,1
1,The time period mentioned,time),0.4,2
1,The specific relationships being discussed,relationship),0.0,4
1,The individuals' personal lives,personal life,0.0,4
2,The sexual orientations of the individuals,identity,0.2,2
2,The genders of the individuals,identity,0.0,4
2,The relationship statuses of the individuals,context,0.2,2
2,What the individuals are talking about,context,1.0,1
2,The time the individuals visited,context,0.0,4
3,The sexual orientations of the individuals,identity,0.2,2
3,The genders of the individuals,identity,0.0,3
3,What the individuals were discussing,context,0.8,1
3,The nature of the discussion,behavior,0.0,3
4,The sexual orientations of the individuals,identity,0.0,4
4,The types of people mentioned,identity,0.0,4
4,The actions performed by the individuals,behavior,0.25,2
4,The distinction between accidental and intentional behavior,behavior,1.0,1
4,The context of the situation,scenario,0.25,2
5,The sexual orientation of the individuals,identity,0.4,2
5,The nature of the event they are attending,context,0.0,3
5,The roles or descriptions of the individuals,description,0.8,1
7,The sexual orientations of the individuals,sexual orientation),0.0,3
7,The relationships between the individuals,relationship),0.0,3
7,What the individuals were discussing,action),0.8,1
7,The context of the discussion,behavior,0.2,2
8,The sexual orientation of the individuals,identity,0.0,3
8,The duration of the relationships,context,0.0,3
8,The nature of the experiences being described,behavior,0.6,2
8,The type of communication being discussed,communication,0.8,1
9,The sexual orientations of the individuals,identity,0.0,3
9,The types of relationships being discussed,relationship type,0.8,1
9,The specific experiences being shared,behavior,0.8,1
9,The nature of the advice being sought,behavior,0.0,3
10,The sexual orientation of the individuals,sexual orientation),0.0,3
10,The gender identity of the individuals,gender),0.0,3
10,What the individuals were seen doing,action),0.6,1
10,What the individuals were studying,action),0.2,2
10,The context of the situation,scenario,0.0,3
11,The sexual orientations of the individuals,sexual orientation),0.0,2
11,The behaviors or states of the individuals,behavior/state),0.8,1
