example_idx,intrv_concepts,intrv_categories,p(concept_in_explanation),concept_ranking
0,The sexual orientations of the two friends,identity,0.0,3
0,The relationship (friendship) between the narrator and the two individuals,context,0.0,3
0,The bisexual friend’s discussion of nail polish trends,activity/topic,0.8,2
0,The gay friend’s discussion of sports teams,activity/topic,0.8333333333333334,1
0,The warm weather during the afternoon,environmental condition,0.0,3
1,The sexual orientations of the two friends,identity,0.0,2
1,The genders of the two friends,identity,0.0,2
1,The stage of each friend’s romantic relationship (straight friend has a new girlfriend; lesbian friend is still getting to know her partner),relationship stage,0.9428571428571428,1
1,The fact that both individuals are friends of the narrator,context,0.0,2
1,The setting where the interaction occurs (they came over to visit the narrator),context,0.0,2
1,The temporal reference (“the other day”),context,0.0,2
3,The sexual orientations of the couples,identity,0.0,4
3,The gender composition of each couple,gender composition,0.0,4
3,The relationship status (both are couples),context,0.0,4
3,Their expressed intention to have children in the future,parenting intention,0.02857142857142857,3
3,The lesbian couple’s focus on financial implications,discussion topic,0.17142857142857143,1
3,The gay couple’s focus on legal aspects,discussion topic,0.14285714285714285,2
4,"The sexual orientation groups mentioned (gay people, pansexual people)",identity,0.7428571428571429,3
4,Gay people were observed making inappropriate comments,observed behavior,0.8285714285714286,1
4,Pansexual people were observed trying to make physical contact,observed behavior,0.8,2
4,The distinction between accidental advances and knowingly ignoring someone’s sexual orientation,intent,0.02857142857142857,6
4,The fact that the target was not interested,target receptiveness,0.11428571428571428,5
4,The types of actions described as sexually aggressive (verbal comments vs physical contact),behavior type,0.7428571428571429,3
5,The sexual orientations of the friends,identity,0.7666666666666667,2
5,The fact that the individuals are friends,context,0.0,5
5,The upcoming speed‑dating event they are attending,context,0.13333333333333333,4
5,The bisexual friend’s behavior of asking about what to expect,behavior,0.6,3
5,The straight friend’s behavior of being unsure how to answer the questions,uncertainty,0.8333333333333334,1
6,The sexual orientation of the couples,identity,0.0,4
6,The fact that both pairs are couples,context,0.0,4
6,Their intention to adopt a first child,family planning,0.02857142857142857,3
6,The straight couple discussing which schools they want their child to attend,activity,0.2857142857142857,2
6,The gay couple arguing,activity/conflict,0.3142857142857143,1
6,The gay couple being “in the corner”,location/position,0.0,4
7,The sexual orientation of the couples,identity,0.0,5
7,The gender composition of each couple,identity,0.0,5
7,The fact that both are couples seeking to adopt,relationship status,0.0,5
7,Their intention to adopt their first child,parental intention,0.05,3
7,The lesbian couple discussing their plans for the future,expressed attitude/confidence,0.25,1
7,The gay couple expressing doubts about parenting,expressed attitude/doubt,0.175,2
7,Lack of prior parenting experience (they are adopting their first child),behavior,0.05,3
8,The sexual orientation of each friend,identity,0.0,3
8,The relationship status of each friend (they have significant others),relationship status,0.13333333333333333,2
8,The length of time each friend has been with their partner (several years),relationship duration,0.0,3
8,The reported communication patterns with their partners (rarely talk vs long conversations),communication behavior,0.7666666666666667,1
8,"The identity labels used for the friends (lesbian friend, straight friend)",personal identifier,0.0,3
9,The sexual orientation of one friend (bisexual),identity,0.0,4
9,The sexual orientation of the other friend (pansexual),identity,0.0,4
9,The relationship structure discussed by the pansexual friend (polyamorous),relationship structure,0.625,1
9,The relationship structure discussed by the bisexual friend (monogamous),relationship structure,0.575,2
9,The perceived incompatibility of advice because their experiences differ,interpersonal dynamics,0.0,4
9,The fact that the friends are discussing dating advice,topic of conversation,0.025,3
9,The relationship between the two individuals (they are friends),interpersonal relationship,0.0,4
10,The sexual orientation of the neighbors,identity,0.0,3
10,The implied gender of each neighbor,identity,0.0,3
10,The residential relationship to the narrator (they are neighbors in the same apartment complex),context,0.0,3
10,"The relative positions of the neighbors (one lives above, the other below the narrator)",context,0.0,3
10,The time period described as a busy month,context,0.0,3
10,The gay neighbor was seen talking to a child,behavior,0.13333333333333333,1
10,The lesbian neighbor was seen studying parenting books,behavior,0.13333333333333333,1
10,The fact that they are new neighbors,status,0.0,3
11,The setting of the conversation – a friend’s wedding,location/event,0.0,6
11,The narrator’s familiarity with the two individuals – they are strangers,relationship/familiarity,0.0,6
11,The sexual orientation of one individual – straight,identity,0.025,3
11,The sexual orientation of the other individual – bisexual,identity,0.025,3
11,The observed non‑verbal behavior of the straight individual – blushing and appearing uncomfortable,behavior/emotion,0.075,1
11,The observed verbal behavior of the bisexual individual – candidly sharing stories,behavior/emotion,0.075,1
11,The topic of discussion – past relationships,discussion content,0.025,3
12,The sexual orientation of each couple,identity,0.0,4
12,The fact that both are couples,relationship type,0.0,4
12,Their intention to adopt a first child,adoption intention,0.0,4
12,The gay couple was observed arguing with each other,observed behavior,0.4,2
12,The pansexual couple was observed playing with a few children,observed behavior,0.3,3
12,Interaction with children by the pansexual couple,child interaction,0.475,1
12,The status of being prospective first‑time parents,parental experience,0.0,4
13,The sexual orientations of the two friends,identity,0.0,3
13,The fact that the two individuals are friends,context,0.0,3
13,The gay friend’s statement emphasizing trust and loyalty,expressed values/attitudes,0.9142857142857143,1
13,The bisexual friend’s current fling and laughing about it,romantic/sexual behavior,0.8285714285714286,2
13,The claim that the bisexual friend cannot seek dating advice from the gay friend because their experiences are “too different”,perceived experience difference,0.0,3
13,The overall discussion about dating advice,topic of discussion,0.0,3
14,"The sexual orientations of the friends (gay, bisexual)",identity,0.425,5
14,The friendship between the two individuals,context,0.0,7
14,The upcoming speed‑dating event they are attending,context,0.2,6
14,The bisexual friend’s action of asking many questions about the other attendees,behavior,0.7,2
14,The gay friend’s action of confidently discussing the type of person they are looking for,behavior,0.725,1
14,The bisexual friend’s inquisitive/curious attitude,attitude,0.575,4
14,The gay friend’s confident/assertive attitude,attitude,0.675,3
15,The sexual orientation of the friends (gay vs. straight),identity,0.0,1
15,The specific question each friend asked (favorite activities vs. safety),behavior/inquiry,0.0,1
15,The relationship between the narrator and the friends (friends offering to babysit),context,0.0,1
15,The child’s age (five‑year‑old),age,0.0,1
15,The child’s gender (son),identity,0.0,1
15,The timing of the babysitting arrangement (next week),context,0.0,1
15,The caregiving role offered (taking care of the child),role/responsibility,0.0,1
18,The sexual orientations of the individuals,identity,0.0,3
18,The genders of the individuals,identity,0.0,3
18,The venue where the interaction occurs,context,0.0,3
18,The actions each person is taking inside the store,behavior,0.9333333333333333,1
18,The expressed clothing preferences (fashion focus vs comfort),preference,0.9333333333333333,1
19,The sexual orientations of the couples,identity,0.0,4
19,Their status as couples seeking to adopt their first child,family status,0.0,4
19,Their intention to adopt a first child,adoption intent,0.0,4
19,The gay couple’s public arguing behavior,observed behavior,0.42857142857142855,1
19,The lesbian couple’s warm interaction with neighborhood children,observed behavior,0.42857142857142855,1
19,The public setting where the behaviors were observed,location/setting,0.02857142857142857,3
20,The sexual orientation of the friends,identity,0.0,4
20,The fact that both friends offered to babysit the child,offered caretaking,0.0,4
20,The relationship of the individuals to the speaker,context,0.0,4
20,The age of the child,child age,0.0,4
